Nama Produk,Nama Variasi,COGS
AHM Gear,120 ml,6979
Federal Ultratec,0.8 L,22500
Federal Ultratec,1 L,26667
Federal Matic Silver,,25000
Federal Matic Orange,,25000
MPX 1.2 L,,40000
MPX 1,0.8 L,27083
MPX 1,1 L,32500
MPX 2,0.65 L,24583
MPX 2,0.8 L,27083
SPX 2,,27083
Yamalube Silver 4T,,23750
Yamalube Matic,,27083
Yamalube Gold,,23750
Yamalube Sport,,31458
Yamalube Super Matic,,27917
Yamaha Gear Matic,100 ml,5833
Yamaha Gear Matic,3 botol,6875
Yamaha Gear Matic,5 botol,7708
Castrol 2T,,30833
Castrol GO 4T,,32083
SGO Suzuki Exstar,0.8 L,23750
SGO Suzuki Exstar,1 L,27917
Prima XP,1 L,38333
Prima XP,4 L,125000
Enduro Matic,,34167
Enduro Racing,,38333
Enduro 4T,,34167
Mesran 40,1 L,33250
Mesran 40,4 L,125000
Mesran B40,1 L,34000
Mesran B40,4 L,125000
Mesran Super,800 ml,27708
Mesran Super,1 L,33250
Mesran Super,4 L,125000
Mesrania 2T Super,,34000
Mesrania 2T OB,,34000
Meditran S40,1 L,34000
Meditran S40,4 L,155000
Meditran S40,9 L,310000
Meditran SC,1 L,34000
Meditran SC,4 L,155000
Meditran SC,9 L,310000
Meditran SX,1 L,34250
Meditran SX,4 L,125000
Meditran SX,9 L,310000
TMO Bensin,1 L,47917
TMO Diesel,1 L,47917
TMO Bensin Diesel,4 L,150000
Shell Ax5 4T,0.8 L,27083
Shell Ax5 4T,1 L,31250
Shell Ax5 Matic,0.8 L,27500
Shell Ax5 Matic,1 L,31250
Shell Ax7 4T,0.8 L,31250
Shell Ax7 4T,1 L,36667
Shell Ax7 Matic,,31667
Shell Helix Hx5,1 L,32917
Shell Helix Hx5,4 L,122500
Shell Helix Hx6,1 L,32917
Shell Helix Hx6,4 L,122500
